"countryterritoryCode","countriesAndTerritories","cases","lat","lng"
"USA","United_States_of_America",890524,38.9047,-77.0163
"ESP","Spain",219764,40.4,-3.6834
"ITA","Italy",192994,41.896,12.4833
"DEU","Germany",152438,52.5218,13.4015
"GBR","United_Kingdom",143464,51.5,-0.1167
"FRA","France",122577,48.8667,2.3333
"TUR","Turkey",104912,39.9272,32.8644
"IRN","Iran",88194,35.6719,51.4243
"CHN","China",83899,39.9289,116.3883
"RUS","Russia",68622,55.7522,37.6155
"BRA","Brazil",52995,-15.7833,-47.9161
"BEL","Belgium",44293,50.8333,4.3333
"CAN","Canada",43877,45.4167,-75.7
"NLD","Netherlands",36535,52.35,4.9166
"CHE","Switzerland",28595,46.9167,7.467
"IND","India",24506,28.6,77.2
"PRT","Portugal",22797,38.7227,-9.1449
"PER","Peru",21648,-12.048,-77.0501
"IRL","Ireland",18184,53.3331,-6.2489
"SWE","Sweden",17567,59.3508,18.0973
"SAU","Saudi_Arabia",15102,24.6408,46.7727
"AUT","Austria",15068,48.2,16.3666
"ISR","Israel",15058,31.7784,35.2066
"JPN","Japan",12892,35.685,139.7514
"MEX","Mexico",12872,19.4424,-99.131
"CHL","Chile",12306,-33.45,-70.667
"PAK","Pakistan",11940,33.7,73.1666
"ECU","Ecuador",11183,-0.215,-78.5001
"SGP","Singapore",11178,1.293,103.8558
"POL","Poland",10892,52.25,21
"KOR","South_Korea",10718,37.5663,126.9997
"ROU","Romania",10417,44.4334,26.0999
"ARE","United_Arab_Emirates",9281,24.4667,54.3666
"BLR","Belarus",8773,53.9,27.5666
"QAT","Qatar",8525,25.2866,51.533
"IDN","Indonesia",8211,-6.1744,106.8294
"DNK","Denmark",8210,55.6786,12.5635
"UKR","Ukraine",8125,50.4334,30.5166
"SRB","Serbia",7483,44.8186,20.468
"NOR","Norway",7408,59.9167,10.75
"CZE","Czechia",7273,50.0833,14.466
"PHL","Philippines",7192,14.6042,120.9822
"AUS","Australia",6687,-35.283,149.129
"DOM","Dominican_Republic",5749,18.4701,-69.9001
"MYS","Malaysia",5691,3.1667,101.7
"PAN","Panama",5338,8.968,-79.533
"COL","Colombia",4881,4.5964,-74.0833
"BGD","Bangladesh",4689,23.7231,90.4086
"FIN","Finland",4395,60.1756,24.9341
"ZAF","South_Africa",4220,-25.7069,28.2294
"EGY","Egypt",4092,30.05,31.25
"MAR","Morocco",3758,34.0253,-6.8361
"LUX","Luxembourg",3695,49.6117,6.13
"ARG","Argentina",3423,-34.6025,-58.3975
"DZA","Algeria",3127,36.7631,3.0506
"MDA","Moldova",3110,47.005,28.8577
"THA","Thailand",2854,13.75,100.5166
"KWT","Kuwait",2614,29.3697,47.9783
"BHR","Bahrain",2518,26.2361,50.5831
"GRC","Greece",2490,37.9833,23.7333
"KAZ","Kazakhstan",2482,51.1811,71.4278
"HUN","Hungary",2443,47.5,19.0833
"HRV","Croatia",2009,45.8,16
"UZB","Uzbekistan",1836,41.3117,69.2949
"OMN","Oman",1790,23.6133,58.5933
"ISL","Iceland",1789,64.15,-21.95
"IRQ","Iraq",1708,33.3386,44.3939
"ARM","Armenia",1677,40.1812,44.5136
"EST","Estonia",1605,59.4339,24.728
"AZE","Azerbaijan",1592,40.3953,49.8622
"BIH","Bosnia_and_Herzegovina",1420,43.85,18.383
"LTU","Lithuania",1410,54.6834,25.3166
"CMR","Cameroon",1403,3.8667,11.5167
"SVN","Slovenia",1373,46.0553,14.515
"SVK","Slovakia",1360,48.15,17.117
"AFG","Afghanistan",1351,34.5167,69.1833
"MKD","North_Macedonia",1326,42,21.4335
"CUB","Cuba",1285,23.132,-82.3642
"GHA","Ghana",1279,5.55,-0.2167
"BGR","Bulgaria",1188,42.6833,23.3167
"NZL","New_Zealand",1117,-41.3,174.7833
"NGA","Nigeria",1095,9.0833,7.5333
"CIV","Cote_dIvoire",1077,5.32,-4.04
"DJI","Djibouti",999,11.595,43.148
"GIN","Guinea",954,9.5315,-13.6802
"TUN","Tunisia",922,36.8028,10.1797
"BOL","Bolivia",807,-16.498,-68.15
"CYP","Cyprus",804,35.1667,33.3666
"LVA","Latvia",784,56.95,24.1
"AND","Andorra",731,42.5,1.5165
"LBN","Lebanon",696,33.872,35.5097
"CRI","Costa_Rica",687,9.935,-84.0841
"NER","Niger",681,13.5167,2.1167
"ALB","Albania",678,41.3275,19.8189
"KGZ","Kyrgyzstan",665,42.8731,74.5852
"BFA","Burkina_Faso",626,12.3703,-1.5247
"HND","Honduras",591,14.102,-87.2175
"URY","Uruguay",563,-34.858,-56.1711
"SEN","Senegal",545,14.7158,-17.4731
"SMR","San_Marino",513,43.9172,12.4667
"MLT","Malta",447,35.8997,14.5147
"GEO","Georgia",444,41.725,44.7908
"JOR","Jordan",441,31.95,35.9333
"GTM","Guatemala",430,14.6211,-90.527
"TWN","Taiwan",428,25.0358,121.5683
"LKA","Sri_Lanka",420,6.932,79.8578
"COD","Democratic_Republic_of_the_Congo",416,-4.3297,15.315
"KEN","Kenya",336,-1.2833,36.8167
"MUS","Mauritius",331,-20.1666,57.5
"SOM","Somalia",328,2.0667,45.3667
"MLI","Mali",325,12.65,-8
"MNE","Montenegro",319,42.466,19.2663
"VEN","Venezuela",318,10.501,-66.917
"TZA","United_Republic_of_Tanzania",300,-6.8,39.2683
"JAM","Jamaica",288,17.9771,-76.7674
"VNM","Vietnam",272,21.0333,105.85
"SLV","El_Salvador",261,13.71,-89.203
"PRY","Paraguay",223,-25.2964,-57.6415
"GNQ","Equatorial_Guinea",212,3.75,8.7833
"COG","Congo",200,-4.2592,15.2847
"RWA","Rwanda",176,-1.9536,30.0605
"SDN","Sudan",174,15.5881,32.5342
"GAB","Gabon",172,0.3854,9.458
"MMR","Myanmar",144,19.7666,96.1186
"GUM","Guam",141,13.4745,144.7504
"BRN","Brunei_Darussalam",138,4.8833,114.9333
"MDV","Maldives",128,4.1667,73.4999
"KHM","Cambodia",122,11.55,104.9166
"MDG","Madagascar",122,-18.9166,47.5166
"ETH","Ethiopia",117,9.0333,38.7
"LBR","Liberia",117,6.3106,-10.8048
"TTO","Trinidad_and_Tobago",115,10.652,-61.517
"ABW","Aruba",100,12.5304,-70.029
"MCO","Monaco",94,43.7396,7.4069
"TGO","Togo",90,6.1319,1.2228
"CPV","Cape_Verde",88,14.9167,-23.5167
"ZMB","Zambia",84,-15.4166,28.2833
"LIE","Liechtenstein",82,47.1337,9.5167
"SLE","Sierra_Leone",82,8.47,-13.2342
"BRB","Barbados",76,13.102,-59.6165
"UGA","Uganda",75,0.3167,32.5833
"BHS","Bahamas",73,25.0834,-77.35
"GUY","Guyana",73,6.802,-58.167
"SXM","Sint_Maarten",73,18.0255,-63.045
"HTI","Haiti",72,18.541,-72.336
"MOZ","Mozambique",65,-25.9553,32.5892
"LBY","Libya",61,32.8925,13.18
"BEN","Benin",58,6.4,2.52
"GNB","Guinea_Bissau",52,11.865,-15.5984
"NPL","Nepal",49,27.7167,85.3166
"SYR","Syria",42,33.5,36.3
"SWZ","Eswatini",40,-26.4667,31.2
"TCD","Chad",40,12.1131,15.0491
"ERI","Eritrea",39,15.3333,38.9333
"MNG","Mongolia",36,47.9167,106.9166
"MWI","Malawi",33,-13.9833,33.7833
"ZWE","Zimbabwe",29,-17.8178,31.0447
"AGO","Angola",25,-8.8383,13.2344
"ATG","Antigua_and_Barbuda",24,17.118,-61.85
"TLS","Timor_Leste",24,-8.5594,125.5795
"BWA","Botswana",22,-24.6463,25.9119
"CAF","Central_African_Republic",19,4.3666,18.5583
"LAO","Laos",19,17.9667,102.6
"BLZ","Belize",18,17.252,-88.7671
"FJI","Fiji",18,-18.133,178.4417
"CUW","Curaçao",16,12.2004,-69.02
"DMA","Dominica",16,15.301,-61.387
"NAM","Namibia",16,-22.57,17.0835
"GRD","Grenada",15,12.0526,-61.7416
"KNA","Saint_Kitts_and_Nevis",15,17.302,-62.717
"LCA","Saint_Lucia",15,14.002,-61
"MNP","Northern_Mariana_Islands",14,15.2137,145.7546
"VCT","Saint_Vincent_and_the_Grenadines",14,13.1483,-61.2121
"BDI","Burundi",12,-3.4271,29.9246
"NIC","Nicaragua",11,12.153,-86.2685
"SYC","Seychelles",11,-4.6166,55.45
"GMB","Gambia",10,13.4539,-16.5917
"SUR","Suriname",10,5.835,-55.167
"PNG","Papua_New_Guinea",8,-9.4647,147.1925
"STP","Sao_Tome_and_Principe",8,0.3334,6.7333
"BTN","Bhutan",7,27.473,89.639
"MRT","Mauritania",7,18.0864,-15.9753
"SSD","South_Sudan",5,4.83,31.58
"YEM","Yemen",1,15.3547,44.2066
